z_nm,pos_with_ramp_mV,pos_no_ramp_mV,neg_with_ramp_mV,neg_no_ramp_mV,membrane_mV,fmp_z_with_ramp
7.159639999999999,-76.5450988583191,-61.89209376725895,-28.33901488404633,-42.99201997510652,-52.442056871182736,0.23196670886793158
7.355794999999998,-75.71300312709985,-60.65854486051167,-27.80023063792667,-42.85468890451482,-51.75661688251325,0.23359756614146648
7.551949999999996,-75.28773678612743,-59.83182534401146,-26.59001018102371,-42.04592162313981,-50.938873483575634,0.22923309971451458
7.748105000000001,-75.42128996149148,-59.56392534384736,-25.124619882269762,-40.98198449991371,-50.27295492188053,0.22034272641784267
7.94426,-76.13385520600123,-59.87503741282926,-24.081232486985872,-40.340050280157854,-50.107543846493556,0.2105793578486987
8.140414999999999,-77.38087547071997,-60.720604502020024,-23.22446323842878,-39.88473420712866,-50.302669354574334,0.19888196240389605
8.336569999999998,-78.94744590961712,-61.885721765389306,-21.698004770012126,-38.75972891424,-50.32272533981465,0.18168424275430956
8.532724999999996,-80.21953402972804,-62.75635670997214,-19.183573110974546,-36.64675043073034,-49.701553570351244,0.16063060647712304
8.72888,-80.54526752686898,-62.680637031585206,-16.450625344300548,-34.31525583958427,-48.49794643558474,0.14362386504378385
8.925035,-79.65311582243294,-61.387032151621256,-14.349618067693239,-32.61570173850492,-47.00136694506308,0.13690244088318707
9.121189999999999,-77.75798112107975,-59.09044427474005,-12.949546724220621,-31.617083570560276,-45.35376392265016,0.13965506980866588
9.317344999999998,-75.54925941549102,-56.480269393623416,-12.02066586903573,-31.08965589090335,-43.78496264226339,0.14677118310760312
9.513499999999997,-73.9294966003171,-54.459053402921484,-11.848523658420401,-31.3189668558159,-42.889010129368685,0.1548201778186756
9.709655000000001,-73.18765493609399,-53.315758563170306,-12.748666479940042,-32.620562852863564,-42.96816070801694,0.16394986580445603
9.905809999999999,-73.2236242990176,-52.95027475056602,-13.831628406674561,-34.10497795512601,-43.52762635284601,0.1697713065756834
10.101964999999998,-74.1481135592633,-53.47331083528402,-13.500673403588324,-34.17547612756766,-43.82439348142584,0.16279084207843497
10.298119999999997,-75.53141516744402,-54.45515926793671,-11.46897183211911,-32.54522773162643,-43.50019349978157,0.14380289562013088
10.494275000000002,-76.66454696129661,-55.1868378862613,-9.459906307114325,-30.937615382149616,-43.06222663420546,0.12633179198911987
10.690430000000001,-77.68556026383935,-55.80639801327617,-8.788835746780192,-30.66799799734341,-43.23719800530979,0.11692354370908128
10.886585,-78.97321453256363,-56.69259910647243,-8.715865774140225,-30.996481200231422,-43.84454015335193,0.109358262247896
11.082739999999998,-80.05237998964655,-57.370311388027254,-8.197195861979841,-30.879264463598975,-44.124787925813116,0.10047405018590717
11.278894999999997,-80.39556194577366,-57.312040168626616,-7.035166088029319,-30.118687865176412,-43.71536401690152,0.09210483989953228
11.475050000000001,-80.65188788565425,-57.16691293297926,-5.4117531227228755,-28.896728075397895,-43.03182050418858,0.08165320052772235
11.671205,-81.74852185872442,-57.862093730521565,-3.8149904451811483,-27.701418573384075,-42.78175615195281,0.06667749810449909
11.86736,-83.50190938890105,-59.21402808517017,-3.0674786379925374,-27.35535994172347,-43.28469401344682,0.05277211054923204
12.063514999999999,-85.02059354887852,-60.331259069619676,-3.552895048833248,-28.24222952809213,-44.2867442988559,0.047026981872745496
12.259669999999996,-85.77682581652746,-60.686038161740704,-4.513901795877804,-29.604689450664587,-45.14536380620264,0.048165559685486484
12.455825,-85.81977730891009,-60.32753647859538,-5.010760165672991,-30.503000995987733,-45.415268737291555,0.050689352206889075
12.65198,-85.74683956474034,-59.85314555889747,-4.895508124371004,-30.789202130213745,-45.3211738445556,0.050454078162884886
12.848135,-86.51640227846032,-60.22125509708955,-4.115137612855824,-30.410284794226474,-45.31576994565802,0.041836209438753
13.044289999999998,-88.36219871159757,-61.665598354699114,-2.2341236954276757,-28.930724052326248,-45.298161203512684,0.02111456682990243
13.240444999999998,-90.83733449660086,-63.73928096417428,0.7869848386323837,-26.311068693794123,-45.0251748289842,-0.00944540262313819
13.436600000000002,-94.04560824268856,-66.54610153473399,4.1321937184986215,-23.36731298945588,-44.95670726209494,-0.045883780765381
13.632755,-98.05401642917928,-70.15305654569681,6.722328169611783,-21.178631713870704,-45.66584412978376,-0.08257269954949444
13.828909999999999,-101.63350927428884,-73.3310962152786,8.043811962879378,-20.258601096131006,-46.79484865570481,-0.10982288852661033
14.025064999999998,-103.50722325341499,-74.80335701887657,8.65593365431462,-20.0479325802237,-47.425644799550135,-0.1236445197619868
14.221219999999997,-104.00404703403024,-74.89872762396398,9.633612338949744,-19.47170707111653,-47.18521734754025,-0.13184298178089615
14.417375000000002,-104.44426072711018,-74.937488141516,11.47734167519828,-18.029430910395956,-46.48345952595598,-0.14454205866994183
14.61353,-106.16009650059728,-76.25187073947508,13.93337279129737,-15.974852969824795,-46.11336185464994,-0.16773828454834872
14.809684999999998,-109.54031447657616,-79.2306355399259,16.532326799085816,-13.777352137564305,-46.5039938387451,-0.20098340659371286
15.005839999999997,-113.23543723949979,-82.52430512732167,19.045673933083567,-11.665458179094523,-47.0948816532081,-0.2355034605407281
15.201994999999997,-115.41018068247281,-84.29759539476666,21.35227181224053,-9.76031347546547,-47.028954435116056,-0.2604204121831319
15.398150000000001,-115.57318339879019,-84.05914493555612,23.401522696467318,-8.112515766766661,-46.08583035116139,-0.27272088474773787
15.594305,-114.69477669048402,-82.77928505172184,25.253752577766285,-6.66173906099563,-44.720512056358736,-0.27813549237645946
15.79046,-113.71213685297751,-81.39519203868768,26.80205453737902,-5.514890276910793,-43.455041157799236,-0.28128066136255453
15.986614999999997,-112.16006162739343,-79.44166363757569,27.988538848408933,-4.729859141408852,-42.08576138949226,-0.27924791926949755
16.182769999999998,-109.17024511947093,-76.0503939541251,28.58174555740154,-4.538105607944212,-40.29424978103465,-0.26592239769613285
16.378925000000002,-105.26719880809311,-71.74589446721934,28.173713551689584,-5.347590789184144,-38.54674262820174,-0.24195213472529384
16.57508,-101.40794331596142,-67.48518579955987,27.240814550798138,-6.6819429656035,-37.083564382581685,-0.2153070137263807
16.771234999999997,-97.89141442884797,-63.567203736918096,26.847174528696772,-7.477036163232778,-35.52211995007544,-0.1935658691401798
16.967389999999998,-95.66694643897394,-60.94128257151649,27.068869387142964,-7.656794480314564,-34.29903852591552,-0.18243014041983963
17.163544999999996,-95.79755021925678,-60.67043317627127,26.78261591784627,-8.344501125139208,-34.50746715070524,-0.18156470404810807
17.3597,-97.55016969110125,-62.02159947258787,25.405414239276457,-10.12315597923694,-36.07237772591241,-0.1836520851084462
17.555855,-99.35732162381194,-63.427298229770486,23.78350123755982,-12.146522156481558,-37.78691019312602,-0.18468204224718823
17.75201,-100.52165517423109,-64.19017860466172,22.602393951374825,-13.729082618194491,-38.9596306114281,-0.18458877767908352
17.948164999999996,-101.1167579702311,-64.38382822513393,21.55471083996941,-15.178218905127835,-39.78102356513089,-0.18207236104784613
18.144319999999997,-101.11165747396946,-63.977274553344024,20.598321251453186,-16.536061669172042,-40.25666811125803,-0.17672632729925422
18.340475,-100.20728086768791,-62.67144477153473,20.180539509819365,-17.355296586333814,-40.01337067893428,-0.16937492216170777
18.53663,-98.47068880730406,-60.53339953562278,20.210689736362966,-17.72659953531818,-39.12999953547048,-0.15988684133992231
18.732785,-96.33949069111192,-58.000748243902784,20.021434290957494,-18.317308156251542,-38.15902820007716,-0.14698476023816617
18.928939999999997,-93.99166898031322,-55.25147335757604,19.14739350909873,-19.59280211363826,-37.42213773560715,-0.1290707059054636
19.125094999999995,-91.40946753978228,-52.26781874151741,17.547104233981738,-21.59454456428318,-36.9311816529003,-0.10581540990915965
19.32125,-89.11740658524445,-49.57430461145162,15.350840526291142,-24.192261447501767,-36.883283029476694,-0.08085962981450677
19.517405,-87.72398052623639,-47.77942537691558,12.963401678805013,-26.98115347051584,-37.38028942371571,-0.05983743550487939
19.713559999999998,-86.71126078902991,-46.365252464180976,10.857134083857629,-29.488874240991173,-37.927063352586075,-0.04249538299377683
19.909715,-85.29136395851293,-44.543902458136145,9.239593617791318,-31.50786788258543,-38.02588517036079,-0.025606761307663387
20.105869999999996,-83.7220139658308,-42.57309928992625,8.376817034707337,-32.77209764119735,-37.6725984655618,-0.012083760955670158
20.302025,-82.27014566302789,-40.719777811595186,8.683677645538879,-32.866690205893754,-36.79323400874447,-0.0057173408951972406
20.498179999999998,-80.53491738392319,-38.58309635696267,10.069205493769227,-31.882615533191355,-35.23285594507701,-0.003772952351884341
20.694335,-78.94004182016346,-36.586767617674894,11.88995232599777,-30.463321876490763,-33.52504474708283,-0.005028831578501609
20.890489999999996,-78.53342795037814,-35.77870057236153,13.777709099827392,-28.97701827818909,-32.37785942527531,-0.013264215465310283
21.086644999999997,-78.9407994825291,-35.78461892898471,15.71402809035083,-27.442152463193583,-31.613385696089146,-0.026295497668667924
21.2828,-78.90240567284924,-35.34477194377684,17.30224041518379,-26.25539331388864,-30.80008262883274,-0.03491272858698085
21.478955,-78.34003480409729,-34.38094789949699,17.86803490083476,-26.09105200376559,-30.235999951631285,-0.03493176442705247
21.675109999999997,-78.16356002651321,-33.803019946384836,17.49913678550678,-26.861403294621475,-30.332211620503152,-0.031899406696864974
21.871264999999998,-78.9861541899923,-34.22416093433612,17.28467621395476,-27.477317041701493,-30.850738988018808,-0.03528072363144946
